rut,fecha,bloque,area,disponible
9.100.001-6,2025-10-07,TARDE,SalaMedica,True
9.100.001-6,2025-10-07,NOCHE,Traumatologia,False
9.100.001-6,2025-10-08,MANANA,Quirurgico,False
9.100.001-6,2025-10-08,TARDE,SalaMedica,True
9.100.001-6,2025-10-08,NOCHE,Traumatologia,True
9.100.001-6,2025-10-09,MANANA,Neonatologia,True
9.100.001-6,2025-10-09,TARDE,Cardiologia,True
9.100.001-6,2025-10-09,NOCHE,UCI,True
9.100.001-6,2025-10-10,MANANA,Hospitalizacion,True
9.100.001-6,2025-10-10,TARDE,Urgencias,True
9.100.001-6,2025-10-10,NOCHE,SalaMedica,True
9.100.001-6,2025-10-11,MANANA,Psiquiatria,False
9.100.001-6,2025-10-11,TARDE,Pediatria,False
9.100.001-6,2025-10-11,NOCHE,Quirurgico,False
9.100.001-6,2025-10-12,MANANA,Infectologia,True
9.100.001-6,2025-10-12,TARDE,UCI,False
9.100.001-6,2025-10-12,NOCHE,Neonatologia,True
9.100.002-4,2025-09-29,MANANA,UCI,True
9.100.002-4,2025-09-29,TARDE,Infectologia,True
9.100.002-4,2025-09-29,NOCHE,Traumatologia,True
9.100.002-4,2025-09-30,MANANA,Psiquiatria,True
9.100.002-4,2025-09-30,TARDE,Infectologia,True
9.100.002-4,2025-09-30,NOCHE,SalaMedica,True
9.100.002-4,2025-10-01,MANANA,Quirurgico,True
9.100.002-4,2025-10-01,TARDE,Hospitalizacion,False
9.100.002-4,2025-10-01,NOCHE,Pediatria,False
9.100.002-4,2025-10-02,MANANA,Recuperacion,True
9.100.002-4,2025-10-02,TARDE,Traumatologia,True
9.100.002-4,2025-10-02,NOCHE,UCI,False
9.100.002-4,2025-10-03,MANANA,Hospitalizacion,True
9.100.002-4,2025-10-03,TARDE,Quirurgico,True
9.100.002-4,2025-10-03,NOCHE,Psiquiatria,False
9.100.002-4,2025-10-04,MANANA,Hospitalizacion,False
9.100.002-4,2025-10-04,TARDE,Cardiologia,True
9.100.002-4,2025-10-04,NOCHE,Urgencias,False
9.100.002-4,2025-10-05,MANANA,Infectologia,True
9.100.002-4,2025-10-05,TARDE,UCI,True
9.100.002-4,2025-10-05,NOCHE,UCI,True
9.100.002-4,2025-10-06,MANANA,Cardiologia,True
9.100.002-4,2025-10-06,TARDE,Cardiologia,True
9.100.002-4,2025-10-06,NOCHE,Psiquiatria,True
9.100.002-4,2025-10-07,MANANA,Neonatologia,False
9.100.002-4,2025-10-07,TARDE,Cardiologia,False
9.100.002-4,2025-10-07,NOCHE,Infectologia,False
9.100.002-4,2025-10-08,MANANA,UCI,True
9.100.002-4,2025-10-08,TARDE,Pediatria,True
9.100.002-4,2025-10-08,NOCHE,SalaMedica,True
9.100.002-4,2025-10-09,MANANA,Hospitalizacion,True
9.100.002-4,2025-10-09,TARDE,Geriatria,True
9.100.002-4,2025-10-09,NOCHE,Dialisis,True
9.100.002-4,2025-10-10,MANANA,Urgencias,False
9.100.002-4,2025-10-10,TARDE,Neonatologia,True
9.100.002-4,2025-10-10,NOCHE,Infectologia,True
9.100.002-4,2025-10-11,MANANA,SalaMedica,False
9.100.002-4,2025-10-11,TARDE,Hospitalizacion,True
9.100.002-4,2025-10-11,NOCHE,UCI,False
9.100.002-4,2025-10-12,MANANA,Oncologia,False
9.100.002-4,2025-10-12,TARDE,SalaMedica,False
9.100.002-4,2025-10-12,NOCHE,Pediatria,True
9.100.003-2,2025-09-29,MANANA,Recuperacion,True
9.100.003-2,2025-09-29,TARDE,Urgencias,True
9.100.003-2,2025-09-29,NOCHE,SalaMedica,False
9.100.003-2,2025-09-30,MANANA,Cardiologia,True
9.100.003-2,2025-09-30,TARDE,Cardiologia,False
9.100.003-2,2025-09-30,NOCHE,Urgencias,True
9.100.003-2,2025-10-01,MANANA,Hospitalizacion,False
9.100.003-2,2025-10-01,TARDE,Infectologia,False
9.100.003-2,2025-10-01,NOCHE,Quirurgico,True
9.100.003-2,2025-10-02,MANANA,Recuperacion,False
9.100.003-2,2025-10-02,TARDE,Recuperacion,False
9.100.003-2,2025-10-02,NOCHE,Traumatologia,True
9.100.003-2,2025-10-03,MANANA,Recuperacion,True
9.100.003-2,2025-10-03,TARDE,Infectologia,False
9.100.003-2,2025-10-03,NOCHE,Hospitalizacion,True
9.100.003-2,2025-10-04,MANANA,Quirurgico,True
9.100.003-2,2025-10-04,TARDE,Dialisis,True
9.100.003-2,2025-10-04,NOCHE,Oncologia,True
9.100.003-2,2025-10-05,MANANA,Neonatologia,True
9.100.003-2,2025-10-05,TARDE,UCI,True
9.100.003-2,2025-10-05,NOCHE,Recuperacion,True
9.100.003-2,2025-10-06,MANANA,Urgencias,True
9.100.003-2,2025-10-06,TARDE,Geriatria,True
9.100.003-2,2025-10-06,NOCHE,Cardiologia,True
9.100.003-2,2025-10-07,MANANA,UCI,True
9.100.003-2,2025-10-07,TARDE,Dialisis,True
9.100.003-2,2025-10-07,NOCHE,Psiquiatria,False
9.100.003-2,2025-10-08,MANANA,Dialisis,True
9.100.003-2,2025-10-08,TARDE,Geriatria,True
9.100.003-2,2025-10-08,NOCHE,Oncologia,True
9.100.003-2,2025-10-09,MANANA,UCI,False
9.100.003-2,2025-10-09,TARDE,Recuperacion,True
9.100.003-2,2025-10-09,NOCHE,Quirurgico,True
9.100.003-2,2025-10-10,MANANA,Urgencias,True
9.100.003-2,2025-10-10,TARDE,Dialisis,False
9.100.003-2,2025-10-10,NOCHE,Infectologia,True
9.100.003-2,2025-10-11,MANANA,SalaMedica,False
9.100.003-2,2025-10-11,TARDE,Dialisis,True
9.100.003-2,2025-10-11,NOCHE,Oncologia,True
9.100.003-2,2025-10-12,MANANA,Quirurgico,False
9.100.003-2,2025-10-12,TARDE,UCI,True
9.100.003-2,2025-10-12,NOCHE,UCI,True
9.100.004-0,2025-09-29,MANANA,Recuperacion,True
9.100.004-0,2025-09-29,TARDE,Traumatologia,True
9.100.004-0,2025-09-29,NOCHE,Traumatologia,True
9.100.004-0,2025-09-30,MANANA,Urgencias,True
9.100.004-0,2025-09-30,TARDE,Quirurgico,True
9.100.004-0,2025-09-30,NOCHE,Infectologia,True
9.100.004-0,2025-10-01,MANANA,Quirurgico,True
9.100.004-0,2025-10-01,TARDE,Traumatologia,False
9.100.004-0,2025-10-01,NOCHE,Infectologia,True
9.100.004-0,2025-10-02,MANANA,UCI,True
9.100.004-0,2025-10-02,TARDE,UCI,True
9.100.004-0,2025-10-02,NOCHE,SalaMedica,False
9.100.004-0,2025-10-03,MANANA,Oncologia,True
9.100.004-0,2025-10-03,TARDE,Oncologia,True
9.100.004-0,2025-10-03,NOCHE,SalaMedica,True
9.100.004-0,2025-10-04,MANANA,SalaMedica,False
9.100.004-0,2025-10-04,TARDE,Urgencias,True
9.100.004-0,2025-10-04,NOCHE,UCI,True
9.100.004-0,2025-10-05,MANANA,UCI,True
9.100.004-0,2025-10-05,TARDE,UCI,True
9.100.004-0,2025-10-05,NOCHE,Recuperacion,True
9.100.004-0,2025-10-06,MANANA,Recuperacion,True
9.100.004-0,2025-10-06,TARDE,Urgencias,True
9.100.004-0,2025-10-06,NOCHE,Infectologia,False
9.100.004-0,2025-10-07,MANANA,Geriatria,False
9.100.004-0,2025-10-07,TARDE,Neonatologia,True
9.100.004-0,2025-10-07,NOCHE,Geriatria,False
9.100.004-0,2025-10-08,MANANA,SalaMedica,True
9.100.004-0,2025-10-08,TARDE,Quirurgico,False
9.100.004-0,2025-10-08,NOCHE,Neonatologia,False
9.100.004-0,2025-10-09,MANANA,Hospitalizacion,True
9.100.004-0,2025-10-09,TARDE,Geriatria,False
9.100.004-0,2025-10-09,NOCHE,UCI,False
9.100.004-0,2025-10-10,MANANA,Dialisis,False
9.100.004-0,2025-10-10,TARDE,Quirurgico,False
9.100.004-0,2025-10-10,NOCHE,Quirurgico,True
9.100.004-0,2025-10-11,MANANA,Hospitalizacion,True
9.100.004-0,2025-10-11,TARDE,Quirurgico,False
9.100.004-0,2025-10-11,NOCHE,SalaMedica,False
9.100.004-0,2025-10-12,MANANA,Infectologia,True
9.100.004-0,2025-10-12,TARDE,Neonatologia,True
9.100.004-0,2025-10-12,NOCHE,Infectologia,False
9.100.005-9,2025-09-29,MANANA,Recuperacion,False
9.100.005-9,2025-09-29,TARDE,UCI,True
9.100.005-9,2025-09-29,NOCHE,UCI,True
9.100.005-9,2025-09-30,MANANA,Oncologia,False
9.100.005-9,2025-09-30,TARDE,Quirurgico,True
9.100.005-9,2025-09-30,NOCHE,Urgencias,False
9.100.005-9,2025-10-01,MANANA,Infectologia,True
9.100.005-9,2025-10-01,TARDE,UCI,False
9.100.005-9,2025-10-01,NOCHE,UCI,False
9.100.005-9,2025-10-02,MANANA,Geriatria,True
9.100.005-9,2025-10-02,TARDE,UCI,False
9.100.005-9,2025-10-02,NOCHE,Quirurgico,True
9.100.005-9,2025-10-03,MANANA,Recuperacion,False
9.100.005-9,2025-10-03,TARDE,SalaMedica,False
9.100.005-9,2025-10-03,NOCHE,Quirurgico,True
9.100.005-9,2025-10-04,MANANA,Geriatria,True
9.100.005-9,2025-10-04,TARDE,Oncologia,False
9.100.005-9,2025-10-04,NOCHE,UCI,True
9.100.005-9,2025-10-05,MANANA,UCI,True
9.100.005-9,2025-10-05,TARDE,UCI,True
9.100.005-9,2025-10-05,NOCHE,Urgencias,False
9.100.005-9,2025-10-06,MANANA,Geriatria,True
9.100.005-9,2025-10-06,TARDE,SalaMedica,True
9.100.005-9,2025-10-06,NOCHE,Pediatria,False
9.100.005-9,2025-10-07,MANANA,Pediatria,False
9.100.005-9,2025-10-07,TARDE,UCI,False
9.100.005-9,2025-10-07,NOCHE,UCI,False
9.100.005-9,2025-10-08,MANANA,Dialisis,False
9.100.005-9,2025-10-08,TARDE,UCI,True
9.100.005-9,2025-10-08,NOCHE,SalaMedica,True
9.100.005-9,2025-10-09,MANANA,Infectologia,True
9.100.005-9,2025-10-09,TARDE,Oncologia,True
9.100.005-9,2025-10-09,NOCHE,Cardiologia,False
9.100.005-9,2025-10-10,MANANA,UCI,True
9.100.005-9,2025-10-10,TARDE,SalaMedica,False
9.100.005-9,2025-10-10,NOCHE,Oncologia,False
9.100.005-9,2025-10-11,MANANA,Neonatologia,True
9.100.005-9,2025-10-11,TARDE,Traumatologia,True
9.100.005-9,2025-10-11,NOCHE,Cardiologia,True
9.100.005-9,2025-10-12,MANANA,SalaMedica,False
9.100.005-9,2025-10-12,TARDE,Infectologia,True
9.100.005-9,2025-10-12,NOCHE,Neonatologia,False
9.100.006-7,2025-09-29,MANANA,Psiquiatria,True
9.100.006-7,2025-09-29,TARDE,Hospitalizacion,False
9.100.006-7,2025-09-29,NOCHE,SalaMedica,False
9.100.006-7,2025-09-30,MANANA,Infectologia,True
9.100.006-7,2025-09-30,TARDE,Hospitalizacion,False
9.100.006-7,2025-09-30,NOCHE,UCI,True
9.100.006-7,2025-10-01,MANANA,Quirurgico,False
9.100.006-7,2025-10-01,TARDE,SalaMedica,True
9.100.006-7,2025-10-01,NOCHE,Cardiologia,True
9.100.006-7,2025-10-02,MANANA,SalaMedica,False
9.100.006-7,2025-10-02,TARDE,Recuperacion,True
9.100.006-7,2025-10-02,NOCHE,Quirurgico,True
9.100.006-7,2025-10-03,MANANA,UCI,False
9.100.006-7,2025-10-03,TARDE,Geriatria,False
9.100.006-7,2025-10-03,NOCHE,SalaMedica,False
9.100.006-7,2025-10-04,MANANA,Geriatria,False
9.100.006-7,2025-10-04,TARDE,Recuperacion,True
9.100.006-7,2025-10-04,NOCHE,Oncologia,True
9.100.006-7,2025-10-05,MANANA,SalaMedica,True
9.100.006-7,2025-10-05,TARDE,Urgencias,True
9.100.006-7,2025-10-05,NOCHE,Cardiologia,True
9.100.006-7,2025-10-06,MANANA,UCI,True
9.100.006-7,2025-10-06,TARDE,Traumatologia,False
9.100.006-7,2025-10-06,NOCHE,Traumatologia,False
9.100.006-7,2025-10-07,MANANA,Cardiologia,True
9.100.006-7,2025-10-07,TARDE,Recuperacion,True
9.100.006-7,2025-10-07,NOCHE,Urgencias,True
9.100.006-7,2025-10-08,MANANA,Geriatria,True
9.100.006-7,2025-10-08,TARDE,Infectologia,True
9.100.006-7,2025-10-08,NOCHE,Urgencias,True
9.100.006-7,2025-10-09,MANANA,Quirurgico,True
9.100.006-7,2025-10-09,TARDE,Quirurgico,True
9.100.006-7,2025-10-09,NOCHE,Hospitalizacion,True
9.100.006-7,2025-10-10,MANANA,Dialisis,False
9.100.006-7,2025-10-10,TARDE,Quirurgico,True
9.100.006-7,2025-10-10,NOCHE,Hospitalizacion,False
9.100.006-7,2025-10-11,MANANA,Urgencias,False
9.100.006-7,2025-10-11,TARDE,Traumatologia,True
9.100.006-7,2025-10-11,NOCHE,Oncologia,False
9.100.006-7,2025-10-12,MANANA,Traumatologia,True
9.100.006-7,2025-10-12,TARDE,Cardiologia,True
9.100.006-7,2025-10-12,NOCHE,UCI,True
9.100.007-5,2025-09-29,MANANA,Urgencias,True
9.100.007-5,2025-09-29,TARDE,Urgencias,True
9.100.007-5,2025-09-29,NOCHE,Urgencias,True
9.100.007-5,2025-09-30,MANANA,Hospitalizacion,True
9.100.007-5,2025-09-30,TARDE,Cardiologia,True
9.100.007-5,2025-09-30,NOCHE,Urgencias,True
9.100.007-5,2025-10-01,MANANA,Urgencias,True
9.100.007-5,2025-10-01,TARDE,Urgencias,True
9.100.007-5,2025-10-01,NOCHE,Urgencias,True
9.100.007-5,2025-10-02,MANANA,Urgencias,True
9.100.007-5,2025-10-02,TARDE,Traumatologia,True
9.100.007-5,2025-10-02,NOCHE,UCI,False
9.100.007-5,2025-10-03,MANANA,Infectologia,True
9.100.007-5,2025-10-03,TARDE,Recuperacion,False
9.100.007-5,2025-10-03,NOCHE,UCI,True
9.100.007-5,2025-10-04,MANANA,Recuperacion,False
9.100.007-5,2025-10-04,TARDE,Urgencias,True
9.100.007-5,2025-10-04,NOCHE,Quirurgico,True
9.100.007-5,2025-10-05,MANANA,Infectologia,True
9.100.007-5,2025-10-05,TARDE,Traumatologia,False
9.100.007-5,2025-10-05,NOCHE,UCI,True
9.100.007-5,2025-10-06,MANANA,Geriatria,False
9.100.007-5,2025-10-06,TARDE,Traumatologia,True
9.100.007-5,2025-10-06,NOCHE,UCI,True
9.100.007-5,2025-10-07,MANANA,Dialisis,True
9.100.007-5,2025-10-07,TARDE,Neonatologia,True
9.100.007-5,2025-10-07,NOCHE,UCI,True
9.100.007-5,2025-10-08,MANANA,Urgencias,True
9.100.007-5,2025-10-08,TARDE,Urgencias,False
9.100.007-5,2025-10-08,NOCHE,Cardiologia,False
9.100.007-5,2025-10-09,MANANA,Recuperacion,True
9.100.007-5,2025-10-09,TARDE,UCI,True
9.100.007-5,2025-10-09,NOCHE,Cardiologia,False
9.100.007-5,2025-10-10,MANANA,Oncologia,True
9.100.007-5,2025-10-10,TARDE,Neonatologia,True
9.100.007-5,2025-10-10,NOCHE,Infectologia,False
9.100.007-5,2025-10-11,MANANA,Quirurgico,False
9.100.007-5,2025-10-11,TARDE,Cardiologia,True
9.100.007-5,2025-10-11,NOCHE,UCI,True
9.100.007-5,2025-10-12,MANANA,Pediatria,True
9.100.007-5,2025-10-12,TARDE,Urgencias,True
9.100.007-5,2025-10-12,NOCHE,Urgencias,False
9.100.008-3,2025-09-29,MANANA,UCI,True
9.100.008-3,2025-09-29,TARDE,Oncologia,False
9.100.008-3,2025-09-29,NOCHE,UCI,True
9.100.008-3,2025-09-30,MANANA,SalaMedica,False
9.100.008-3,2025-09-30,TARDE,Geriatria,True
9.100.008-3,2025-09-30,NOCHE,Urgencias,False
9.100.008-3,2025-10-01,MANANA,SalaMedica,True
9.100.008-3,2025-10-01,TARDE,Dialisis,True
9.100.008-3,2025-10-01,NOCHE,Geriatria,True
9.100.008-3,2025-10-02,MANANA,Neonatologia,True
9.100.008-3,2025-10-02,TARDE,Traumatologia,True
9.100.008-3,2025-10-02,NOCHE,UCI,False
9.100.008-3,2025-10-03,MANANA,Neonatologia,True
9.100.008-3,2025-10-03,TARDE,Urgencias,True
9.100.008-3,2025-10-03,NOCHE,Traumatologia,True
9.100.008-3,2025-10-04,MANANA,Quirurgico,True
9.100.008-3,2025-10-04,TARDE,UCI,False
9.100.008-3,2025-10-04,NOCHE,Neonatologia,False
9.100.008-3,2025-10-05,MANANA,Pediatria,True
9.100.008-3,2025-10-05,TARDE,Geriatria,True
9.100.008-3,2025-10-05,NOCHE,Oncologia,True
9.100.008-3,2025-10-06,MANANA,Quirurgico,False
9.100.008-3,2025-10-06,TARDE,Recuperacion,False
9.100.008-3,2025-10-06,NOCHE,Urgencias,False
9.100.008-3,2025-10-07,MANANA,SalaMedica,True
9.100.008-3,2025-10-07,TARDE,UCI,False
9.100.008-3,2025-10-07,NOCHE,Dialisis,False
9.100.008-3,2025-10-08,MANANA,Urgencias,False
9.100.008-3,2025-10-08,TARDE,Urgencias,True
9.100.008-3,2025-10-08,NOCHE,Urgencias,False
9.100.008-3,2025-10-09,MANANA,Psiquiatria,True
9.100.008-3,2025-10-09,TARDE,Quirurgico,False
9.100.008-3,2025-10-09,NOCHE,Quirurgico,False
9.100.008-3,2025-10-10,MANANA,Oncologia,True
9.100.008-3,2025-10-10,TARDE,Traumatologia,True
9.100.008-3,2025-10-10,NOCHE,Geriatria,True
9.100.008-3,2025-10-11,MANANA,Pediatria,False
9.100.008-3,2025-10-11,TARDE,Quirurgico,True
9.100.008-3,2025-10-11,NOCHE,Hospitalizacion,False
9.100.008-3,2025-10-12,MANANA,UCI,False
9.100.008-3,2025-10-12,TARDE,Cardiologia,True
9.100.008-3,2025-10-12,NOCHE,Urgencias,False
9.100.009-1,2025-09-29,MANANA,Infectologia,True
9.100.009-1,2025-09-29,TARDE,Hospitalizacion,False
9.100.009-1,2025-09-29,NOCHE,Urgencias,True
9.100.009-1,2025-09-30,MANANA,Pediatria,False
9.100.009-1,2025-09-30,TARDE,UCI,True
9.100.009-1,2025-09-30,NOCHE,Geriatria,False
9.100.009-1,2025-10-01,MANANA,Quirurgico,False
9.100.009-1,2025-10-01,TARDE,UCI,False
9.100.009-1,2025-10-01,NOCHE,Urgencias,True
9.100.009-1,2025-10-02,MANANA,Recuperacion,True
9.100.009-1,2025-10-02,TARDE,Urgencias,False
9.100.009-1,2025-10-02,NOCHE,Psiquiatria,False
9.100.009-1,2025-10-03,MANANA,Geriatria,True
9.100.009-1,2025-10-03,TARDE,Pediatria,True
9.100.009-1,2025-10-03,NOCHE,Urgencias,False
9.100.009-1,2025-10-04,MANANA,Cardiologia,True
9.100.009-1,2025-10-04,TARDE,Traumatologia,False
9.100.009-1,2025-10-04,NOCHE,Urgencias,False
9.100.009-1,2025-10-05,MANANA,Dialisis,True
9.100.009-1,2025-10-05,TARDE,UCI,False
9.100.009-1,2025-10-05,NOCHE,SalaMedica,False
9.100.009-1,2025-10-06,MANANA,Geriatria,False
9.100.009-1,2025-10-06,TARDE,Infectologia,True
9.100.009-1,2025-10-06,NOCHE,Dialisis,False
9.100.009-1,2025-10-07,MANANA,Oncologia,False
9.100.009-1,2025-10-07,TARDE,Hospitalizacion,False
9.100.009-1,2025-10-07,NOCHE,Oncologia,True
9.100.009-1,2025-10-08,MANANA,SalaMedica,False
9.100.009-1,2025-10-08,TARDE,Urgencias,False
9.100.009-1,2025-10-08,NOCHE,Hospitalizacion,True
9.100.009-1,2025-10-09,MANANA,Cardiologia,True
9.100.009-1,2025-10-09,TARDE,UCI,True
9.100.009-1,2025-10-09,NOCHE,Recuperacion,True
9.100.009-1,2025-10-10,MANANA,Quirurgico,True
9.100.009-1,2025-10-10,TARDE,Traumatologia,False
9.100.009-1,2025-10-10,NOCHE,Neonatologia,True
9.100.009-1,2025-10-11,MANANA,Geriatria,True
9.100.009-1,2025-10-11,TARDE,Urgencias,True
9.100.009-1,2025-10-11,NOCHE,Urgencias,True
9.100.009-1,2025-10-12,MANANA,Traumatologia,True
9.100.009-1,2025-10-12,TARDE,Hospitalizacion,True
9.100.009-1,2025-10-12,NOCHE,Dialisis,False
9.100.010-5,2025-09-29,MANANA,UCI,True
9.100.010-5,2025-09-29,TARDE,Urgencias,False
9.100.010-5,2025-09-29,NOCHE,Urgencias,True
9.100.010-5,2025-09-30,MANANA,UCI,False
9.100.010-5,2025-09-30,TARDE,Traumatologia,True
9.100.010-5,2025-09-30,NOCHE,UCI,False
9.100.010-5,2025-10-01,MANANA,Urgencias,False
9.100.010-5,2025-10-01,TARDE,Urgencias,True
9.100.010-5,2025-10-01,NOCHE,UCI,True
9.100.010-5,2025-10-02,MANANA,Cardiologia,True
9.100.010-5,2025-10-02,TARDE,Geriatria,True
9.100.010-5,2025-10-02,NOCHE,Traumatologia,True
9.100.010-5,2025-10-03,MANANA,Oncologia,True
9.100.010-5,2025-10-03,TARDE,Urgencias,True
9.100.010-5,2025-10-03,NOCHE,Hospitalizacion,False
9.100.010-5,2025-10-04,MANANA,Quirurgico,True
9.100.010-5,2025-10-04,TARDE,Cardiologia,True
9.100.010-5,2025-10-04,NOCHE,UCI,True
9.100.010-5,2025-10-05,MANANA,Geriatria,True
9.100.010-5,2025-10-05,TARDE,UCI,True
9.100.010-5,2025-10-05,NOCHE,Pediatria,False
9.100.010-5,2025-10-06,MANANA,UCI,True
9.100.010-5,2025-10-06,TARDE,Geriatria,True
9.100.010-5,2025-10-06,NOCHE,Infectologia,True
9.100.010-5,2025-10-07,MANANA,UCI,True
9.100.010-5,2025-10-07,TARDE,Psiquiatria,False
9.100.010-5,2025-10-07,NOCHE,Recuperacion,True
9.100.010-5,2025-10-08,MANANA,Psiquiatria,True
9.100.010-5,2025-10-08,TARDE,Neonatologia,False
9.100.010-5,2025-10-08,NOCHE,UCI,True
9.100.010-5,2025-10-09,MANANA,Urgencias,True
9.100.010-5,2025-10-09,TARDE,Urgencias,True
9.100.010-5,2025-10-09,NOCHE,Oncologia,False
9.100.010-5,2025-10-10,MANANA,Recuperacion,True
9.100.010-5,2025-10-10,TARDE,Pediatria,True
9.100.010-5,2025-10-10,NOCHE,Cardiologia,True
9.100.010-5,2025-10-11,MANANA,Infectologia,True
9.100.010-5,2025-10-11,TARDE,Dialisis,True
9.100.010-5,2025-10-11,NOCHE,Pediatria,False
9.100.010-5,2025-10-12,MANANA,Geriatria,True
9.100.010-5,2025-10-12,TARDE,Recuperacion,True
9.100.010-5,2025-10-12,NOCHE,Hospitalizacion,False
9.100.011-3,2025-09-29,MANANA,Oncologia,True
9.100.011-3,2025-09-29,TARDE,Pediatria,True
9.100.011-3,2025-09-29,NOCHE,Infectologia,True
9.100.011-3,2025-09-30,MANANA,Urgencias,False
9.100.011-3,2025-09-30,TARDE,SalaMedica,True
9.100.011-3,2025-09-30,NOCHE,Urgencias,True
9.100.011-3,2025-10-01,MANANA,UCI,False
9.100.011-3,2025-10-01,TARDE,Urgencias,True
9.100.011-3,2025-10-01,NOCHE,Pediatria,False
9.100.011-3,2025-10-02,MANANA,Psiquiatria,False
9.100.011-3,2025-10-02,TARDE,Urgencias,True
9.100.011-3,2025-10-02,NOCHE,Urgencias,False
9.100.011-3,2025-10-03,MANANA,Hospitalizacion,True
9.100.011-3,2025-10-03,TARDE,Cardiologia,True
9.100.011-3,2025-10-03,NOCHE,Urgencias,False
9.100.011-3,2025-10-04,MANANA,Oncologia,True
9.100.011-3,2025-10-04,TARDE,Traumatologia,True
9.100.011-3,2025-10-04,NOCHE,Urgencias,False
9.100.011-3,2025-10-05,MANANA,UCI,True
9.100.011-3,2025-10-05,TARDE,Pediatria,True
9.100.011-3,2025-10-05,NOCHE,Pediatria,True
9.100.011-3,2025-10-06,MANANA,Geriatria,True
9.100.011-3,2025-10-06,TARDE,Dialisis,True
9.100.011-3,2025-10-06,NOCHE,Infectologia,False
9.100.011-3,2025-10-07,MANANA,Geriatria,True
9.100.011-3,2025-10-07,TARDE,UCI,True
